"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",900,676,75.1111111111111,49.7955555555556,188.474587300488,0,2150,0,0
"01",900,801,89,13.6588888888889,69.0672503511369,0,1110,0,0
"02",900,786,87.3333333333333,11.8944444444444,65.9568147741584,0,1221,0,0
"03",900,819,91,10.6333333333333,57.8084078084509,0,834,0,0
"04",900,797,88.5555555555556,10.2477777777778,47.370357542446,0,733,0,0
"05",900,812,90.2222222222222,9.97222222222222,46.0869505821999,0,624,0,0
"06",900,732,81.3333333333333,37.8544444444444,144.14826724658,0,1621,0,0
"07",900,478,53.1111111111111,185.173333333333,331.580176953644,0,2361,0,284
"08",900,313,34.7777777777778,190.027777777778,260.767973155744,0,1430,0,286.5
"09",853,188,22.0398593200469,245.724501758499,315.448607932223,0,2435,3,360
"10",840,142,16.9047619047619,335.309523809524,369.255527037426,0,2020,28.75,515
"11",840,230,27.3809523809524,264.559523809524,411.283871737203,0,3430,0,410
"12",900,244,27.1111111111111,305.61,403.505289278944,0,2288,0,467
"13",900,219,24.3333333333333,336.536666666667,440.490130227212,0,3029,3,515
"14",900,136,15.1111111111111,346.804444444444,366.291379090804,0,2513,55,502.25
"15",900,144,16,402.344444444444,408.207238178959,0,2674,44.5,645
"16",900,226,25.1111111111111,278.12,324.410794798786,0,1898,0,451
"17",900,292,32.4444444444444,226.068888888889,349.8797023979,0,2150,0,315
"18",900,244,27.1111111111111,264.405555555556,355.963292173657,0,3124,0,399.5
"19",900,240,26.6666666666667,354.765555555556,445.542303111967,0,4129,0,567
"20",900,259,28.7777777777778,296.115555555556,383.308055757639,0,2513,0,498
"21",900,312,34.6666666666667,229.081111111111,324.834108562397,0,1726,0,384
"22",900,326,36.2222222222222,193.114444444444,308.383804487367,0,2435,0,260
"23",900,382,42.4444444444444,132.553333333333,299.78133380497,0,4003,0,157
