"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",840,239,28.452380952381,134.227380952381,215.730175049719,0,1659,0,179
"01",840,479,57.0238095238095,80.352380952381,202.421819971371,0,1882,0,53
"02",840,602,71.6666666666667,52.0130952380952,204.669234758616,0,2735,0,8
"03",840,663,78.9285714285714,21.6297619047619,70.6793684879811,0,801,0,0
"04",840,626,74.5238095238095,22.3297619047619,64.5813478014563,0,564,0,3
"05",840,657,78.2142857142857,17.9488095238095,57.1068755142551,0,582,0,0
"06",840,603,71.7857142857143,28.4369047619048,128.068211562494,0,1824,0,8
"07",840,556,66.1904761904762,74.0940476190476,211.188389454936,0,1824,0,33
"08",840,465,55.3571428571429,132.34880952381,295.632573228604,0,2131,0,86
"09",840,273,32.5,223.177380952381,339.330966537534,0,2415,0,325
"10",840,236,28.0952380952381,316.141666666667,415.961536886347,0,2199,0,464
"11",840,185,22.0238095238095,330.096428571429,418.417840086444,0,2269,8,479
"12",870,146,16.7816091954023,305.886206896552,388.458793756874,0,2199,20.5,434
"13",900,114,12.6666666666667,318.145555555556,370.006117756329,0,2821,52,437.75
"14",900,319,35.4444444444444,193.772222222222,301.610848260071,0,2269,0,275.5
"15",848,339,39.9764150943396,169.583726415094,325.460904776121,0,2492,0,214
"16",840,207,24.6428571428571,211.189285714286,302.238215813978,0,1767,3,322
"17",840,228,27.1428571428571,294.259523809524,413.86577405221,0,2066,0,434
"18",840,131,15.5952380952381,289.160714285714,378.591567332488,0,2066,18,394
"19",840,138,16.4285714285714,156.965476190476,217.276735926199,0,1767,14.5,208
"20",840,85,10.1190476190476,301.536904761905,349.770489803654,0,2003,48,421
"21",840,107,12.7380952380952,264.439285714286,292.032454691346,0,1712,37,381
"22",840,139,16.547619047619,173.157142857143,220.711654415184,0,1463,13,248
"23",840,219,26.0714285714286,164.188095238095,240.795825660425,0,2066,0,209.5
