"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",900,657,73,38.0855555555556,149.309520963342,0,2828,0,10
"01",900,747,83,15.6277777777778,61.4295793642011,0,833,0,0
"02",900,738,82,14.6344444444444,48.7444898026472,0,410,0,0
"03",900,759,84.3333333333333,12.8055555555556,48.4079688535168,0,644,0,0
"04",900,701,77.8888888888889,20.7388888888889,70.6918900126335,0,781,0,0
"05",900,716,79.5555555555556,20.6122222222222,65.571939669577,0,665,0,0
"06",900,672,74.6666666666667,26.9555555555556,82.5926804201142,0,1039,0,3
"07",900,408,45.3333333333333,147.156666666667,342.92196777755,0,2420,0,116
"08",855,158,18.4795321637427,371.672514619883,441.015804100207,0,2657,41,566
"09",900,129,14.3333333333333,372.462222222222,386.02529168923,0,2138,64,468
"10",900,111,12.3333333333333,459.566666666667,431.466486826877,0,2420,160,687
"11",900,109,12.1111111111111,429.192222222222,393.273401810054,0,2497,154,586
"12",900,83,9.22222222222222,508.535555555556,426.120061549007,0,2657,178,756
"13",900,116,12.8888888888889,469.286666666667,404.398607363298,0,2347,143,709
"14",900,99,11,446.75,389.371046349445,0,2420,152.75,649.25
"15",900,61,6.77777777777778,515.425555555556,424.095887131547,0,2347,176.5,781
"16",900,117,13,488.578888888889,444.280607846234,0,2420,143,756
"17",900,117,13,456.516666666667,467.654325470488,0,3300,103,644
"18",900,126,14,547.934444444444,591.726522239364,0,4935,107,833
"19",900,127,14.1111111111111,427.655555555556,436.6907958644,0,2497,71,687
"20",900,138,15.3333333333333,369.382222222222,379.643258744993,0,2828,82,531
"21",900,142,15.7777777777778,396.311111111111,408.725566007311,0,2741,76.25,586
"22",900,200,22.2222222222222,313.491111111111,410.36671915777,0,2576,10,483
"23",900,575,63.8888888888889,86.2566666666667,235.834366448616,0,2205,0,46.25
