"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",840,761,90.5952380952381,11.4178571428571,73.6897009681526,0,1182,0,0
"01",840,731,87.0238095238095,6.63690476190476,27.9791395124551,0,296,0,0
"02",840,738,87.8571428571429,5.86547619047619,25.1763695043147,0,277,0,0
"03",840,728,86.6666666666667,5.79880952380952,23.3998512369976,0,212,0,0
"04",840,739,87.9761904761905,5.93571428571429,35.4726057000425,0,712,0,0
"05",840,726,86.4285714285714,5.06547619047619,21.363514696839,0,227,0,0
"06",840,731,87.0238095238095,7.41785714285714,41.3285382234114,0,862,0,0
"07",840,739,87.9761904761905,7.86547619047619,37.1676580095973,0,439,0,0
"08",840,683,81.3095238095238,41.3904761904762,164.200057939048,0,1725,0,0
"09",840,576,68.5714285714286,81.8702380952381,224.500512609751,0,1894,0,9
"10",840,295,35.1190476190476,247.655952380952,395.737843134771,0,3869,0,398
"11",840,344,40.9523809523809,228.683333333333,355.343416574475,0,1954,0,361
"12",840,406,48.3333333333333,153.792857142857,258.552019044558,0,2356,0,250
"13",865,516,59.6531791907515,99.9317919075145,244.391214948744,0,2146,0,64
"14",900,457,50.7777777777778,145.6,294.800390604106,0,2507,0,116
"15",900,590,65.5555555555556,86.3922222222222,224.410032475851,0,1620,0,29
"16",900,486,54,114.891111111111,219.60763709438,0,2016,0,160
"17",900,529,58.7777777777778,83.4477777777778,219.2810036463,0,1836,0,49
"18",900,404,44.8888888888889,145.208888888889,225.301298027977,0,1894,0,277
"19",842,354,42.0427553444181,167.407363420428,297.773651906502,0,2752,0,242
"20",840,532,63.3333333333333,60.3535714285714,149.277960205789,0,1780,0,52
"21",840,457,54.4047619047619,61.9416666666667,136.951433156805,0,890,0,46
"22",840,527,62.7380952380952,97.7940476190476,247.617966180753,0,2146,0,49
"23",840,701,83.4523809523809,21.6142857142857,93.4768302484168,0,1260,0,0
