"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",1620,0,0,23.5771604938272,68.8718468446568,3,806,4,9
"01",1620,0,0,23.5314814814815,79.9470230490585,3,1336,4,9
"02",1620,0,0,22.9246913580247,73.9540231289995,3,1106,4,9
"03",1620,0,0,21.5277777777778,69.6775940265359,3,833,4,9
"04",1620,0,0,42.0401234567901,121.798556825209,3,1178,4,10
"05",1620,0,0,63.3030864197531,141.338602245106,3,1515,6,13
"06",1620,0,0,267.204938271605,342.67035317537,3,3300,9,453
"07",1620,0,0,272.901851851852,420.497174333269,3,3103,9,372
"08",1620,0,0,324.998148148148,489.757585215128,3,2918,9,427.5
"09",1620,0,0,433.168518518519,614.763483143375,4,3103,9,566
"10",1620,0,0,409.787654320988,531.8232887636,4,3736,9,609.75
"11",1620,0,0,273.756172839506,373.031914943704,4,2657,9,410
"12",1620,0,0,257.218518518519,381.835315199585,4,2657,9,360
"13",1620,0,0,294.83024691358,436.085129132448,4,3300,9,413.5
"14",1620,0,0,276.13950617284,419.225255670178,3,4228,9,384
"15",1666,2,0.120048019207683,211.056422569028,323.751592291495,0,2275,9,306
"16",1620,0,0,131.352469135802,231.437062951356,3,1336,4,166
"17",1620,0,0,92.3049382716049,182.885504336494,3,1379,4,85.75
"18",1620,0,0,82.0734567901235,209.095989817542,3,2072,4,18
"19",1620,0,0,48.4425925925926,132.182112898912,3,1295,4,9
"20",1620,0,0,35.0648148148148,95.2059507928191,3,1006,4,9
"21",1620,0,0,36.1987654320988,135.42085476244,3,1515,4,9
"22",1620,0,0,27.6543209876543,83.7163082775405,3,1255,4,9
"23",1620,0,0,15.2666666666667,47.409097049134,3,806,4,9
