"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",900,455,50.5555555555556,57.2888888888889,152.731805220112,0,1449,0,28
"01",900,646,71.7777777777778,27.3611111111111,100.832472869463,0,1092,0,6
"02",900,727,80.7777777777778,20.48,66.0628736152185,0,543,0,0
"03",900,776,86.2222222222222,10.5022222222222,44.7532475385344,0,462,0,0
"04",900,791,87.8888888888889,9.01444444444444,35.9711417552923,0,369,0,0
"05",900,824,91.5555555555556,7.26444444444444,34.6598128617413,0,346,0,0
"06",900,725,80.5555555555556,60.2388888888889,209.814494152561,0,2106,0,0
"07",900,538,59.7777777777778,210.771111111111,424.416210771212,0,2962,0,227
"08",900,506,56.2222222222222,149.341111111111,306.52273881267,0,2312,0,178
"09",900,485,53.8888888888889,96.3777777777778,192.241353782339,0,1404,0,124
"10",960,563,58.6458333333333,75.1729166666667,160.274228290945,0,2042,0,74
"11",960,435,45.3125,156.639583333333,242.781860094751,0,1693,0,257
"12",960,410,42.7083333333333,149.35625,226.217296042269,0,2312,0,233
"13",949,392,41.3066385669125,144.889357218124,295.695863434771,0,2784,0,178
"14",900,330,36.6666666666667,215.177777777778,383.890542131034,0,2784,0,275
"15",900,346,38.4444444444444,133.926666666667,213.329986544474,0,1495,0,184
"16",900,336,37.3333333333333,145.482222222222,219.592368628571,0,1860,0,225
"17",900,316,35.1111111111111,177.451111111111,272.629010085193,0,1802,0,268.25
"18",900,277,30.7777777777778,159.556666666667,209.825373948997,0,1318,0,248
"19",900,288,32,146.442222222222,297.955835047923,0,6825,0,212
"20",900,291,32.3333333333333,137.424444444444,209.932368637627,0,1404,0,210
"21",900,246,27.3333333333333,105.493333333333,154.240357335307,0,993,0,150
"22",900,293,32.5555555555556,125.411111111111,185.192038405716,0,1277,0,184
"23",900,346,38.4444444444444,102.324444444444,196.771713101754,0,2241,0,113
