"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",960,719,74.8958333333333,40.4208333333333,154.892575991632,0,2146,0,3
"01",960,844,87.9166666666667,19.4791666666667,115.048910954053,0,2284,0,0
"02",960,868,90.4166666666667,8.47395833333333,41.2811685759647,0,411,0,0
"03",960,882,91.875,4.83854166666667,26.1518780133864,0,306,0,0
"04",960,830,86.4583333333333,10.4083333333333,41.6164012412976,0,606,0,0
"05",960,872,90.8333333333333,6.18854166666667,31.6993974337446,0,349,0,0
"06",960,831,86.5625,9.54479166666667,36.7525058761092,0,349,0,0
"07",960,765,79.6875,27.6677083333333,102.669077716942,0,1010,0,0
"08",960,603,62.8125,77.575,192.258039910749,0,1521,0,49
"09",960,413,43.0208333333333,143.628125,265.956801122319,0,2586,0,166
"10",960,196,20.4166666666667,221.1,277.180626088159,0,1954,12,328
"11",960,101,10.5208333333333,299.671875,321.417606923262,0,1954,51.25,425
"12",1020,140,13.7254901960784,331.046078431373,489.958678070106,0,3418,35,425
"13",1020,176,17.2549019607843,377.662745098039,558.510183530502,0,3314,33.5,469
"14",1020,280,27.4509803921569,283.038235294118,394.136879513655,0,3214,0,454
"15",984,254,25.8130081300813,213.760162601626,314.173001499467,0,2430,0,317
"16",960,144,15,244.378125,285.534319281619,0,1780,23.75,373
"17",960,111,11.5625,315.848958333333,357.910392282794,0,2507,72.25,439
"18",960,152,15.8333333333333,302.848958333333,356.048869973116,0,3526,41,439
"19",960,222,23.125,208.325,292.6946837468,0,1725,3,296
"20",960,289,30.1041666666667,128.544791666667,197.842054934451,0,1341,0,184
"21",960,325,33.8541666666667,85.0416666666667,141.41627711877,0,1260,0,103.25
"22",960,389,40.5208333333333,64.4885416666667,134.476515170442,0,2214,0,70
"23",960,496,51.6666666666667,66.6708333333333,190.635663470927,0,2284,0,49
