"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",2220,478,21.5315315315315,182.921621621622,475.348018597122,0,4245,3,11.25
"01",2160,781,36.1574074074074,74.1875,363.034542753556,0,6546,0,5
"02",2100,798,38,60.0876190476191,271.742016662614,0,3022,0,5
"03",2100,865,41.1904761904762,8.1047619047619,31.9898518358068,0,485,0,5
"04",2160,834,38.6111111111111,22.1675925925926,164.036890940376,0,3526,0,5
"05",2160,761,35.2314814814815,10.9587962962963,38.1738504625094,0,485,0,5
"06",2160,737,34.1203703703704,10.3791666666667,40.4192850303194,0,689,0,5
"07",2160,532,24.6296296296296,107.501851851852,382.079180574077,0,3869,3,6
"08",2160,414,19.1666666666667,132.992592592593,383.636157310131,0,3314,3,6
"09",2160,289,13.3796296296296,229.085648148148,830.460834905392,0,6964,3,32
"10",2110,198,9.38388625592417,194.472037914692,417.481211889606,0,2668,3,166
"11",2100,148,7.04761904761905,188.34380952381,404.172921220002,0,3637,3,179.5
"12",2100,90,4.28571428571429,200.482380952381,415.772288263077,0,4116,3,190
"13",2100,80,3.80952380952381,209.669047619048,420.856195848008,0,2839,3,191.75
"14",2100,61,2.9047619047619,273.267619047619,801.887301439935,0,7182,3,213.75
"15",2160,138,6.38888888888889,236.440740740741,487.585061718212,0,6964,3,242
"16",2160,237,10.9722222222222,249.068981481481,480.467415002307,0,3637,3,259
"17",2160,477,22.0833333333333,231.408333333333,460.671098482751,0,5437,3,229
"18",2160,284,13.1481481481481,226.389351851852,444.322759871504,0,2752,3,219
"19",2160,331,15.3240740740741,198.718518518519,392.478273788083,0,2668,3,190
"20",2160,365,16.8981481481481,251.733333333333,540.715584572631,0,8000,3,219
"21",2160,86,3.98148148148148,143.168518518519,293.90750015469,0,2668,3,154
"22",2160,101,4.67592592592593,186.02962962963,395.700756272863,0,2507,3,139
"23",2160,112,5.18518518518519,281.702777777778,515.643112926866,0,2839,3,328
