"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",2220,1255,56.5315315315315,78.5914414414414,289.082571179267,0,4927,0,3
"01",2160,1402,64.9074074074074,33.0967592592593,157.689672402642,0,2911,0,3
"02",2100,1443,68.7142857142857,13.4580952380952,63.455045411502,0,705,0,3
"03",2100,1424,67.8095238095238,14.0942857142857,64.0470933937742,0,776,0,3
"04",2160,1446,66.9444444444444,17.2601851851852,78.7557294824985,0,1137,0,3
"05",2160,1450,67.1296296296296,13.5583333333333,62.270914665994,0,529,0,3
"06",2160,1403,64.9537037037037,16.9023148148148,71.6823327362172,0,662,0,3
"07",2160,1332,61.6666666666667,50.3796296296296,193.246643601928,0,2131,0,3
"08",2160,1211,56.0648148148148,39.7476851851852,123.096496015805,0,1250,0,3
"09",2160,1075,49.7685185185185,90.1208333333333,229.431635038245,0,1712,0,3
"10",2160,928,42.962962962963,162.07037037037,403.918082271142,0,3097,0,96
"11",2160,859,39.7685185185185,119.180555555556,305.758817775078,0,3195,0,66
"12",2111,777,36.8072003789673,209.644244433918,474.721082404623,0,3729,0,175
"13",2100,841,40.0476190476191,142.438571428571,317.098693256892,0,2570,0,90
"14",2100,897,42.7142857142857,133.96619047619,306.20236577134,0,2492,0,83
"15",2160,949,43.9351851851852,152.215740740741,337.43373216937,0,2735,0,90
"16",2160,1066,49.3518518518519,172.721296296296,381.556761093619,0,4221,0,126
"17",2160,1276,59.0740740740741,215.730092592593,482.555798799541,0,5575,0,223
"18",2160,1338,61.9444444444444,138.919907407407,347.743548226298,0,3097,0,83.75
"19",2160,1269,58.75,132.695833333333,343.676665452183,0,6117,0,86
"20",2160,1238,57.3148148148148,121.77037037037,290.437009298754,0,2341,0,100
"21",2160,1152,53.3333333333333,97.1347222222222,239.630064392854,0,3195,0,90
"22",2160,1094,50.6481481481482,101.250462962963,245.149853972996,0,1824,0,57
"23",2160,1067,49.3981481481481,98.7023148148148,278.282773926466,0,3195,0,23
