"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",1320,885,67.0454545454545,213.55303030303,432.288260858454,0,3616,0,188
"01",1320,1010,76.5151515151515,109.762121212121,309.630804763633,0,2066,0,0
"02",1320,1100,83.3333333333333,52.4113636363636,208.502090592176,0,2199,0,0
"03",1320,1132,85.7575757575758,25.2545454545455,128.893919606569,0,1942,0,0
"04",1320,1158,87.7272727272727,11.2666666666667,47.3315226369026,0,662,0,0
"05",1320,1120,84.8484848484848,17.7159090909091,74.7245762389679,0,1290,0,0
"06",1320,1132,85.7575757575758,20.7780303030303,95.1379269399976,0,1558,0,0
"07",1320,692,52.4242424242424,308.968181818182,464.57005375652,0,2735,0,620
"08",1320,305,23.1060606060606,536.217424242424,563.009619940006,0,3399,17,911
"09",1320,253,19.1666666666667,403.848484848485,445.302953070003,0,2735,42,620
"10",1320,206,15.6060606060606,511.857575757576,526.646338975706,0,2821,76,751
"11",1293,140,10.8275328692962,555.906419180201,499.027043818126,0,3097,161,828
"12",1260,121,9.6031746031746,518.707936507937,498.468243492163,0,2911,121,801
"13",1260,155,12.3015873015873,597.828571428571,602.855795019098,0,3399,116,941
"14",1260,130,10.3174603174603,621.380952380952,591.686457084414,0,4927,194,911
"15",1320,135,10.2272727272727,675.393181818182,538.316164867424,0,3968,254,1010
"16",1320,78,5.90909090909091,831.818181818182,615.946854808246,0,3296,334,1250
"17",1320,110,8.33333333333333,691.606818181818,623.743896178708,0,3729,201,1034
"18",1320,115,8.71212121212121,572.303787878788,587.138751020581,0,3097,95.25,911
"19",1320,162,12.2727272727273,654.710606060606,664.624997842411,0,3847,86,1034
"20",1320,67,5.07575757575758,533.315909090909,500.578445738594,0,2570,106,828
"21",1320,179,13.5606060606061,445.730303030303,519.317943654828,0,2821,57,683
"22",1320,391,29.6212121212121,358.387121212121,475.197371851531,0,2492,0,582
"23",1320,548,41.5151515151515,332.294696969697,480.025726157694,0,2492,0,564
