"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",1200,566,47.1666666666667,200.995,412.541871375539,0,2741,0,173.5
"01",1200,729,60.75,61.7183333333333,181.368481557043,0,1946,0,15
"02",1200,849,70.75,40.2716666666667,154.654371129022,0,1886,0,3
"03",1200,973,81.0833333333333,16.7091666666667,58.4543583431836,0,566,0,0
"04",1200,990,82.5,35.0491666666667,188.209450915242,0,2918,0,0
"05",1200,893,74.4166666666667,109.708333333333,351.366767687391,0,3009,0,3
"06",1200,624,52,292.620833333333,513.420099819229,0,3736,0,456.75
"07",1200,535,44.5833333333333,220.91,378.555194473301,0,3300,0,360
"08",1200,460,38.3333333333333,331.063333333333,466.839894640813,0,4361,0,566
"09",1260,401,31.8253968253968,359.869047619048,492.615139283232,0,6128,0,571
"10",1258,306,24.3243243243243,395.332273449921,499.631808038258,0,3736,3,624
"11",1200,313,26.0833333333333,422.841666666667,577.992505179717,0,6321,0,624
"12",1200,329,27.4166666666667,476.8925,496.3960836237,0,3009,0,756
"13",1200,373,31.0833333333333,410.533333333333,515.224542469777,0,3405,0,624
"14",1200,345,28.75,414.861666666667,463.574082506992,0,3103,0,665
"15",1200,487,40.5833333333333,323.7175,415.423293907974,0,2497,0,566
"16",1200,471,39.25,305.759166666667,434.041189628992,0,3405,0,513
"17",1200,357,29.75,369.518333333333,473.959507070496,0,3405,0,624
"18",1200,296,24.6666666666667,434.660833333333,507.20223207266,0,3200,3,709
"19",1200,323,26.9166666666667,387.156666666667,494.152418422443,0,3736,0,644
"20",1200,289,24.0833333333333,357.775833333333,483.819315300165,0,3512,3,531
"21",1200,294,24.5,373.353333333333,481.534352806734,0,3009,3,566
"22",1200,324,27,305.818333333333,438.745043286032,0,2657,0,483
"23",1200,430,35.8333333333333,316.041666666667,474.843356741733,0,3200,0,515
