"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",2220,427,19.2342342342342,99.2941441441441,274.515372822947,0,2674,3,7
"01",2160,586,27.1296296296296,66.0208333333333,281.844145420446,0,3222,0,5
"02",2100,598,28.4761904761905,44.2195238095238,220.10771519527,0,2845,0,5
"03",2100,630,30,51.0542857142857,229.910024254501,0,2513,0,5
"04",2160,745,34.4907407407407,33.125462962963,170.543752085564,0,2150,0,5
"05",2160,778,36.0185185185185,16.0819444444444,91.3170588224056,0,1430,0,5
"06",2160,670,31.0185185185185,43.1773148148148,188.826734002439,0,2513,0,7
"07",2160,411,19.0277777777778,121.511111111111,350.332006716131,0,2845,3,9
"08",2160,439,20.3240740740741,99.8453703703704,327.717996035145,0,2288,3,7
"09",2160,287,13.287037037037,99.9166666666667,291.988289466777,0,2361,3,9
"10",2160,98,4.53703703703704,185.337962962963,403.560724781211,0,3222,5,143.25
"11",2149,82,3.81572824569567,214.564913913448,452.764786255978,0,3124,5,168
"12",2100,20,0.952380952380952,281.394285714286,566.570505707625,0,4672,5,260
"13",2100,34,1.61904761904762,255.537142857143,563.902456138892,0,7431,5,203.75
"14",2100,50,2.38095238095238,205.23619047619,444.128301281083,0,2935,3,175
"15",2160,64,2.96296296296296,242.498148148148,458.883952324618,0,3222,3,249
"16",2160,18,0.833333333333333,219.91712962963,436.201295560155,0,4819,3,266
"17",2160,71,3.28703703703704,188.258796296296,405.246035625193,0,3124,3,202
"18",2160,128,5.92592592592593,192.698611111111,423.206225616509,0,3029,3,163
"19",2160,184,8.51851851851852,216.605555555556,434.616306550991,0,3430,3,216
"20",2160,160,7.40740740740741,220.976388888889,445.623554045627,0,4530,3,232
"21",2160,173,8.00925925925926,224.310648148148,478.948512771089,0,4259,3,216
"22",2160,130,6.01851851851852,179.448148148148,381.133052856735,0,2513,3,147
"23",2160,253,11.712962962963,157.9875,392.324338522101,0,3762,3,70
